transaction_uuid,transaction_timestamp,transaction_type,source_amount,source_currency,destination_amount,destination_currency,fee_amount,fee_currency,currency_pair,exchange_rate
b84ffe86-5ba2-4dcb-bb92-4cd546f3de32,2016-04-11T18:09:50+10:00,sell,36.68541414,BTC,"20,000.00",AUD,0.36685414,BTC,BTC/AUD,545.1758
297c9789-ab70-4015-91af-0720330424fb,2016-04-11T18:11:55+10:00,sell,0.09171354,BTC,50.00,AUD,,,BTC/AUD,545.1758
81979929-aa93-40c6-8953-4a8970cf2ed6,2016-04-11T18:14:32+10:00,buy,"20,000.00",AUD,35.95897368,BTC,0.71917947,BTC,BTC/AUD,556.1894
c91c285f-a3ce-444f-8bc8-561a5a158bab,2016-04-11T18:16:12+10:00,buy,"1,000.00",AUD,1.79794868,BTC,,,BTC/AUD,556.1894
b05ad44a-4f5c-4132-9187-5ea4f15681b8,2016-04-11T18:16:34+10:00,sell,1.00000000,BTC,545.17,AUD,5.45,AUD,BTC/AUD,545.1758
e3c6a10f-5562-4108-9e5c-f32f91fa4de1,2016-04-11T18:16:46+10:00,sell,1.00000000,BTC,545.17,AUD,5.45,AUD,BTC/AUD,545.1758
1cbf91a7-7c15-4ed5-905b-c9f269730869,2016-04-11T18:19:31+10:00,sell,1.00000000,BTC,545.17,AUD,5.45,AUD,BTC/AUD,545.1758
20abeb9f-34a6-4d9c-ac1a-b529c0d43759,2016-04-12T14:08:15+10:00,sell,1.00000000,BTC,547.51,AUD,,,BTC/AUD,547.5144
00315f5b-3f5c-4a62-b619-db9ce1f3fd3e,2016-04-12T19:23:07+10:00,sell,1.00000000,BTC,549.80,AUD,5.50,AUD,BTC/AUD,549.8013
2749305a-0a42-4060-8313-bb50eb32011e,2016-04-12T19:23:23+10:00,sell,1.00000000,BTC,549.80,AUD,,,BTC/AUD,549.8038
58b30c71-0b72-43b0-afa1-3085b929815f,2016-04-12T19:23:38+10:00,sell,1.00000000,BTC,549.80,AUD,5.50,AUD,BTC/AUD,549.8038
3fd5cfd1-52b6-4567-a236-ac04bff65976,2016-04-12T19:23:52+10:00,sell,1.00000000,BTC,549.80,AUD,,,BTC/AUD,549.8035
9e24bdf6-3f1c-46e7-b117-73f81c28ed27,2016-04-13T13:35:19+10:00,sell,1.00000000,BTC,548.83,AUD,5.49,AUD,BTC/AUD,548.8357
5fb03e24-3a21-4275-a941-4153960be7b8,2016-04-13T16:54:06+10:00,sell,1.81950775,BTC,"1,000.00",AUD,0.01819508,BTC,BTC/AUD,549.5992
15e6d137-570f-4aa6-9361-22296e6d03f4,2016-04-18T13:44:51+10:00,sell,0.10000000,BTC,55.48,AUD,0.55,AUD,BTC/AUD,554.8836
